Key,Description,Standard
SAY.F3.3.Yuna,,Naomi?
SAY.F3.6.,,Aparecidió detrás de mí.
SAY.F3.5.,,"Sonreí, no pudiendo evitar pensar en el mensaje de anoche."
SAY.F3.4.Yuna,,Yo creo que fue más que bien.
SAY.F3.8.Naomi,,Cállate.
SAY.F3.11.,,"Vi como Hotaru se acercaba a mí, la miré a Yuna quien con una sonrisa se fue."
SAY.F3.10.,,"Tocó el timbre y noté como el no dejaba de mirarme de reojo,"
SAY.F3.19.,,En la clase nos dieron un trabajo para hacer en parejas.
SAY.F3.20.,,El profesor fue quién eligió las parejas.
SAY.F3.24.,,Me tocó con Hotaru.
SAY.F3.28.,,Traje otra silla y nos sentamos en el escritorio.
SAY.F3.31.,,"Estabamos bastnate apretados, pero a Hotaru no le pareció molestar."
SAY.F3.30.,,Luego de un rato pudimos terminar el primer ejercicio.
SAY.F3.29.,,Cuando llegué con el café Hotary estaba hojeando los cuadernos de mi escritorio.
SAY.F3.35.,,Me senté a su lado y le di su café. Yo iba a tomar agua.
SAY.F3.34.,,"Aunque lo dije sonriendo, Hotaru no se lo tomó como una broma."
SAY.F3.33.Naomi,,No es tan malo.
SAY.F3.41.,,"No importaba que sonriera y haga chistes, Hotaru no dejaba de verme preocupado."
SAY.F3.40.,,El simplemente asintió.
SAY.F3.44.,,Seguimos haciendo el trabajo pero podía notar como Hotaru seguía triste.
SAY.F3.52.Madre,,¡Naomi! ¿Tu amigo se queda a cenar?
SAY.F3.51.,,Mi madre me hablaba desde la cocina.
SAY.F3.50.,,Lo miré a Hotaru y él dijo que sí con la cabeza.
SAY.F3.49.Naomi,,"¡Sí, se queda!"
SAY.F3.57.,,Terminamos de arreglar algunas cosas del trabajo.
SAY.F3.56.,,"Al cabo de un rato, vino mi madre con la comida, la dejó al lado nuestro y se fue con una sonrisa."
SAY.F3.62.,,COmenzamos a comer en el escritorio en silencio.
SAY.F3.61.,,"Yo seguía buscando errores para que el trabajo estara bien, cuando sentí la mano de Hotaru en la pierna."
SAY.F3.60.,,Tragé la comida y lo miré.
SAY.F3.59.,,Me estaba mirando a los ojos fijamente y lentamente se empezó a acercar.
SAY.F3.58.,,"Cuando sus labios tocaron los mios, noté que estaba demasiado sonrojada. "
SAY.F3.55.,,Al separarse de mí y ver mi expresión comenzó a sonreír.
SAY.F3.54.,,Hotaru me dio otro beso pero mas corto y sigió comiendo.
SAY.F5.1.,,"Al día siguiente, Hotaru no apareció."
SAY.F5.11.,,Me estaba empezando a preocupar.
SAY.F5.10.,,"Le pregunté a un amigo suyo si sabía algo de él, pero no sabía nada."
SAY.F5.9.,,"Pensé en preguntarle a la enfermera del hospital si sabía algo, asi que me dirigí al hospital."
SAY.F5.8.,,Fui al cuarto pero no vi a la madre de Hotaru.
SAY.F5.7.,,¿Habrá despertado del coma?
SAY.F5.6.,,Trataba de pensar positivamente para no alterarme demasiado.
SAY.F5.5.,,"Al salir del cuarto me choqué con la enfermera, quien me saludó con una sonrisa."
SAY.F5.20.,,Me dijo que la madre de Hotaru había muerto.
SAY.F5.19.,,Sentí como me empezaba a marear y me hizo sentarme.
SAY.F5.18.,,Le mandé un mensaje a un compàñero preguntandole la dirección de Hotaru.
SAY.F5.17.,,Una vez que me contestó tomé un taxi y fui para allá.
SAY.F5.30.,,Toqué el timbre y el padre de Hotaru me dejó pasar al cuarto de Hotaru.
SAY.F5.36.,,"Cuando Hotaru me abrió la puerta, tuve la necesidad de abrazarlo."
SAY.F5.35.,,"Lo hice, pero el mantuvo los brazos pegados al cuerpo."
SAY.F5.34.,,"Aunque lo abrazara aún más fuerte, el seguía sin responder al abrazo."
SAY.F5.33.Naomi,,"Hotaru, ¿Cómo estás?"
SAY.F5.40.,,No respondió.
SAY.F5.39.Naomi,,¿Me abrazas?
SAY.F5.50.,,Pude sentir como de a poco me rodeaba con sus brazos hasta abrazarme.
SAY.F5.49.,,"Cuando apreté un poco con los brazos, él me abrazó mucho más fuerte."
SAY.F5.48.,,Pude sentir como lloraba contra mi hombro en silencio por el movimiento de sus hombros.
SAY.F5.46.,,Se apoyó en mi hombro y nos quedamos en silencio.
SAY.F5.45.,,Me pidió que me pase la noche con él y no pude decirle que no.
SAY.F5.44.,,Avisé a mi madre porque sabía que mi viejo me iba a decir que no.
SAY.F5.43.,,"Nos fuimos a dormir sin cenar, ya que ninguno de los dos tenía hambre."
SAY.F5.42.,,"Dormimos en la misma cama. No pasó nada, sólo nos abrazamos."
SAY.F5.53.,,"Al día siguiente nos despertamos por la alarma, pero él no se levantó."
SAY.F5.64.,,Me dirigí al naño y me saqué la remera larga y el pantalón que me prestó Hotaru.
